sourceID,targetID,edgeType
35,503893,type1
35,1112911,type1
35,503883,type1
35,1130856,type1
35,573978,type1
35,197054,type1
35,574462,type1
35,82098,type1
35,1129778,type1
35,427606,type1
35,592973,type1
35,787016,type1
35,33907,type1
35,1128945,type1
35,387795,type1
35,694759,type1
35,263498,type1
35,135130,type1
35,1154459,type1
35,249421,type1
35,248425,type1
35,132806,type1
35,84021,type1
35,593105,type1
35,1137466,type1
35,287787,type2
35,66805,type2
35,577227,type2
35,634975,type2
35,1131360,type2
35,887,type2
35,1119708,type2
35,28290,type2
35,97645,type2
35,634904,type2
35,27510,type2
35,579008,type2
35,307015,type2
35,259702,type2
35,1128227,type2
35,593240,type2
35,128540,type2
35,513189,type2
35,573964,type2
35,259701,type2
35,486840,type2
35,69284,type2
35,38205,type2
35,178727,type2
35,141347,type2
35,41714,type2
35,54129,type2
35,1956,type2
35,229635,type2
35,1129027,type2
35,48766,type2
35,640617,type2
35,1154176,type2
35,198443,type2
35,1131557,type2
35,46431,type2
35,86359,type3
35,81722,type3
35,574009,type3
35,12576,type3
35,1125386,type3
35,1128453,type3
35,1153943,type3
35,35061,type3
35,263279,type3
35,1129683,type3
35,647447,type3
35,576795,type3
35,103515,type3
35,575077,type3
35,69296,type3
35,1127913,type3
35,1033,type3
35,56119,type3
35,1133196,type3
35,1050679,type3
35,1103985,type3
35,1129573,type3
35,28851,type3
35,415693,type3
35,801170,type3
35,578780,type3
35,594047,type3
35,15670,type3
35,1153280,type3
35,18582,type3
35,1153577,type3
35,1153853,type3
35,1133338,type3
35,1113831,type3
35,335733,type3
35,289779,type3
35,289780,type3
35,45599,type3
35,608326,type3
35,198653,type3
35,206371,type3
35,1152421,type3
35,1127430,type3
35,576725,type3
35,103482,type3
35,735303,type3
35,575292,type3
35,1123756,type3
35,1103960,type3
35,1119505,type3
35,148170,type3
35,66563,type4
35,46079,type4
35,1130847,type4
35,286500,type4
35,646809,type4
35,1120431,type4
35,594543,type4
35,141342,type4
35,289781,type4
35,1688,type4
35,646837,type4
35,231249,type4
35,1136814,type4
35,1152508,type4
35,1114331,type4
35,647408,type4
35,265203,type4
35,575331,type4
35,78511,type4
35,1128985,type4
35,254923,type4
35,1131116,type4
35,593813,type4
35,594649,type4
35,98698,type4
35,561238,type4
35,1128204,type4
35,85352,type4
35,568857,type4
35,1113438,type4
35,634902,type4
35,116552,type4
35,593260,type4
35,54131,type4
35,190697,type4
35,66556,type4
35,210871,type4
35,593091,type4
35,175291,type4
35,33904,type4
35,1129018,type4
35,594900,type4
35,190706,type4
35,574264,type4
35,1109199,type4
35,1153065,type4
35,1117476,type4
35,1128959,type4
35,634938,type4
35,273152,type4
35,44368,type4
35,8865,type4
35,1131752,type4
35,1128314,type4
40,116552,type1
40,1109017,type2
40,1114442,type3
114,6155,type1
114,8213,type1
114,1118245,type1
114,1118332,type1
114,6170,type1
114,1117942,type2
114,976334,type2
114,6220,type2
114,39403,type2
114,28227,type2
114,91975,type2
114,7432,type3
114,64484,type3
114,1114125,type3
114,130,type3
114,136665,type3
114,28471,type3
114,1106406,type3
114,28350,type3
114,1103315,type3
114,1105394,type3
114,6196,type3
114,193742,type3
114,124064,type3
114,128,type3
114,1120170,type3
114,58540,type3
114,38480,type3
114,1106112,type3
114,28287,type3
114,1126029,type4
114,23258,type4
114,341188,type4
114,28485,type4
114,1107455,type4
114,1106172,type4
114,191404,type4
114,28387,type4
114,755217,type4
114,434,type4
114,1111052,type4
114,55968,type4
117,189708,type1
117,6214,type2
117,38480,type2
117,28278,type2
117,75674,type2
117,28387,type3
117,39403,type3
117,1109581,type3
117,28471,type3
117,206259,type4
117,33013,type4
117,28202,type4
117,149669,type4
117,32872,type4
117,6170,type4
117,341188,type4
117,17476,type4
128,20526,type3
128,39403,type4
128,91975,type4
128,1114125,type4
130,39403,type3
130,13960,type3
130,345340,type4
288,1118092,type1
288,36167,type4
424,218666,type2
424,1135125,type3
424,47684,type4
434,267003,type4
463,58454,type4
